"filename", "language", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "C#", "JSON", "XML", "Properties", "Docker", "HTML", "Vue", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css", "CSS", 0, 0, 3886, 0, 0, 0, 0, 0, 0, 0, 0, 6, 193, 4085
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 3886, 0, 0, 0, 0, 0, 0, 0, 0, 6, 192, 4084
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css", "CSS", 0, 0, 518, 0, 0, 0, 0, 0, 0, 0, 0, 14, 65, 597
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 524, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64, 594
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css", "CSS", 0, 0, 4891, 0, 0, 0, 0, 0, 0, 0, 0, 8, 503, 5402
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 4887, 0, 0, 0, 0, 0, 0, 0, 0, 6, 500, 5393
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap.css", "CSS", 0, 0, 11136, 0, 0, 0, 0, 0, 0, 0, 0, 24, 897, 12057
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css", "CSS", 0, 0, 11138, 0, 0, 0, 0, 0, 0, 0, 0, 6, 886, 12030
